Los Angeles Lakers,1610612747
Chicago Bulls,1610612741
New Jersey Nets,1610612751
San Antonio Spurs,1610612759
New Orleans Pelicans,1610612740
Philadelphia 76ers,1610612755
Detroit Pistons,1610612765
Boston Celtics,1610612738
Miami Heat,1610612748
Orlando Magic,1610612753
Portland Trail Blazers,1610612757
Golden State Warriors,1610612744
New York Knicks,1610612752
Washington Wizards,1610612764
Dallas Mavericks,1610612742
Minnesota Timberwolves,1610612750
Los Angeles Clippers,1610612746
Oklahoma City Thunder,1610612760
Charlotte Hornets,1610612766
Milwaukee Bucks,1610612749
Memphis Grizzlies,1610612763
Toronto Raptors,1610612761
Utah Jazz,1610612762
Phoenix Suns,1610612756
Sacramento Kings,1610612758
Houston Rockets,1610612745
Cleveland Cavaliers,1610612739
Atlanta Hawks,1610612737
Indiana Pacers,1610612754
Denver Nuggets,1610612743
